fold,participant,windows,mae,rmse,corr
1,003df5deff30e1e5a07b5d063fe85c3f,5,2.10454240023867,2.238723439350503,0.8929735140057713
2,0107c61e54459068bb83f6be2058d65d,10,4.861674964576754,5.771154532270168,0.5631198085373577
3,031cf9537e5da78c5a69a10cba088c94,4,4.40713830742169,4.767259941705068,0.7599524306760848
4,03a0ce5623bfeb8aa3113605f7682215,4,3.8505335857987277,4.35892302015529,0.31524789754070137
5,07eab8e219b6a4dcd45167dc216e1189,2,3.4044460579379576,3.735426092492591,1.0
6,0947cdc8e87a0a45a012aa387ccedbcd,10,3.063001873225302,3.594804522982736,0.8122638211131789
7,0ab7acb36e6c710a7733c1c24e566bb3,13,4.28441573550457,5.402640638906894,0.28962390343487604
8,0aee9faa6f2d2d24d85d2690f5b2df25,4,2.759537383511719,3.736146331567974,0.8806287177123595
9,0b9c2303bcc61063f9a5653d77c90501,1,0.8699314318907394,0.8699314318907394,nan
10,0ba15aa0582c5e825710d42fe3eb231d,18,4.098394133484147,4.967858980490574,0.34773922841212135
11,0f2be96bde481cd3898f147a995a7d56,3,5.109999278742337,6.155988110586896,0.79712544330168
12,0f727c1018c74fbb7142e8c7a77840d6,8,3.335925264175931,3.8830941316048895,0.530196699050711
13,107c06248d28377b345ae06e5bda10c1,4,3.2899492166666224,4.378563985682393,-0.4914823128509743
14,12e0a85ee9819ae1abeca0ccfaa52d13,4,5.489880548231642,5.578626312445145,0.9794514199421813
15,12f90c19f2c2b74ec542b62e74e7cad1,16,5.377877679625161,7.146331950507184,0.3256726711393408
16,13789d5f8a59f1e347e42b99233530d6,10,3.1507683329668468,4.446253821329282,0.5422290300156684
17,1618e7f7049efc1a0fbe48af6fda8e57,11,4.2487884673569765,5.387415617882439,0.08603628262613289
18,165970c3847523de7691ef9766b0f3f4,5,4.0012540189761,5.11941303546703,0.791296707428033
19,169d3212668c4eed434dafd32e33c946,17,3.9266843240873395,4.51773431080532,0.6519842203933507
20,1741432fb469dbbcd5a40599670c64ce,6,2.904830151290158,3.7030845822632306,0.91288877750584
21,17fb1517cc9d7e416782bffb8edd9070,4,3.7155607988972243,4.12810970905265,0.3913260048619612
22,1893420fc2b045e14ef0112c1b079afe,3,3.943730727849388,5.11983834839889,-0.515495270963798
23,1c12f39481a6c09da17bd4e6bebed9a2,1,3.8908983137666806,3.8908983137666806,nan
24,1d0fa4dfa0545bedeaa6045c70b6d19c,9,4.275914212732737,4.932696736867713,0.796374213662232
25,1d2263527eed2a54e88d340fb8e55308,20,1.169306478719108,2.0581364426321174,0.3022249851421441
26,1df93e607e693903c6fce6054a0a67c5,8,4.277453520068356,4.766666104013879,0.6403054515981575
27,1e85c892d8f047ff621ad9134c4e6d8d,7,3.21918923563281,3.8870392662490283,0.8935660396219302
28,1ff6d7f34acb354430e7323a35ff7703,4,3.4811767445700115,3.5709981585545516,0.5114849679838067
29,1fff60a0795f79ab1f9432d2cb1f56ee,7,4.716964945500649,5.324833275053082,0.6533657214590524
30,20b8c420e5a7abcb07f11aab23e42923,3,6.383909188536425,7.345682580987957,-0.7336037385891369
31,212521733ea8eeff63d997dc0213c692,14,2.8070618222110952,3.3485492010522404,0.7680255596634096
32,23d00aa2ae3eb2c224734960f2391885,12,3.278711092926541,3.7618256344620558,0.6528024164183204
33,284784fd7319c4e33b0bf1dc90c1a610,8,2.568248575992807,2.7679046218138725,0.9095209530159152
34,2b3d267f18830c3c257b382edabef246,21,3.4242975823788155,4.065820157471325,0.6133738066516484
35,2c4f43b2212eee5ba69563f139911138,4,3.371500965703036,3.994630631869048,0.977345988812005
